dispnum,ord_incidnum,stabb,ccode,stday,stmon,styear,endday,endmon,endyear,insidea,sidea,fatality,fatalpre,action,hostlev,revtype1,revtype2,version,incidnum
3564,3564006,AZE,373,8,5,1992,8,5,1992,0,0,-9,-9,17,4,1,0,5,3564006
3564,3564007,ARM,371,10,5,1992,10,5,1992,1,1,1,12,17,4,1,0,5,3564007
3564,3564007,AZE,373,10,5,1992,10,5,1992,0,0,3,108,17,4,1,0,5,3564007
3564,3564008,ARM,371,17,5,1992,21,5,1992,1,1,1,10,17,4,1,0,5,3564008
3564,3564008,AZE,373,17,5,1992,21,5,1992,0,0,1,11,17,4,1,0,5,3564008
3564,3564009,ARM,371,13,6,1992,13,6,1992,1,1,1,15,17,4,1,0,5,3564009
3564,3564009,AZE,373,13,6,1992,13,6,1992,0,0,2,50,17,4,1,0,5,3564009
3564,3564010,ARM,371,17,6,1992,17,6,1992,1,1,1,20,17,4,1,0,5,3564010
3564,3564010,AZE,373,17,6,1992,17,6,1992,0,0,3,200,17,4,1,0,5,3564010
3564,3564011,ARM,371,21,7,1992,22,7,1992,1,1,1,8,17,4,1,0,5,3564011
3564,3564011,AZE,373,21,7,1992,22,7,1992,0,0,2,80,17,4,1,0,5,3564011
3564,3564012,ARM,371,28,7,1992,28,7,1992,1,1,1,2,17,4,1,0,5,3564012
3564,3564012,AZE,373,28,7,1992,28,7,1992,0,0,2,30,17,4,1,0,5,3564012
3564,3564013,ARM,371,8,8,1992,8,8,1992,1,1,1,18,17,4,1,0,5,3564013
3564,3564013,AZE,373,8,8,1992,8,8,1992,0,0,-9,-9,17,4,1,0,5,3564013
3564,3564014,ARM,371,23,11,1992,23,11,1992,1,1,1,2,17,4,1,0,5,3564014
3564,3564014,AZE,373,23,11,1992,23,11,1992,0,0,0,0,17,4,1,0,5,3564014
3564,3564015,ARM,371,23,12,1992,23,12,1992,1,1,3,170,17,4,1,0,5,3564015
3564,3564015,AZE,373,23,12,1992,23,12,1992,0,0,-9,-9,17,4,1,0,5,3564015
3564,3564016,ARM,371,4,1,1993,4,1,1993,1,1,1,6,17,4,1,0,5,3564016
3564,3564016,AZE,373,4,1,1993,4,1,1993,0,0,-9,-9,17,4,1,0,5,3564016
3564,3564017,AZE,373,-9,2,1993,-9,2,1993,0,0,-9,-9,17,4,1,0,5,3564017
3564,3564017,RUS,365,-9,2,1993,-9,2,1993,1,1,-9,-9,17,4,1,0,5,3564017
3564,3564018,ARM,371,-9,4,1993,-9,4,1993,0,1,0,0,0,1,0,0,5,3564018
3564,3564018,TUR,640,-9,4,1993,-9,4,1993,1,0,0,0,7,3,2,0,5,3564018
3564,3564019,ARM,371,-9,4,1993,-9,4,1993,0,1,0,0,0,1,0,0,5,3564019
3564,3564019,TUR,640,-9,4,1993,-9,4,1993,1,0,0,0,11,3,2,0,5,3564019
3564,3564020,ARM,371,5,4,1993,7,4,1993,1,1,-9,-9,17,4,1,0,5,3564020
3564,3564020,AZE,373,5,4,1993,7,4,1993,0,0,-9,-9,17,4,1,0,5,3564020
3564,3564021,ARM,371,7,4,1993,7,4,1993,0,1,0,0,0,1,0,0,5,3564021
3564,3564021,TUR,640,7,4,1993,7,4,1993,1,0,0,0,11,3,2,0,5,3564021
3564,3564022,ARM,371,17,4,1993,17,4,1993,0,1,0,0,0,1,0,0,5,3564022
3564,3564022,TUR,640,17,4,1993,17,4,1993,1,0,0,0,12,3,2,0,5,3564022
3564,3564023,ARM,371,17,4,1993,17,4,1993,1,1,0,0,1,2,2,0,5,3564023
3564,3564023,TUR,640,17,4,1993,17,4,1993,0,0,0,0,0,1,0,0,5,3564023
3564,3564024,ARM,371,18,8,1993,18,8,1993,0,1,-9,-9,0,1,0,0,5,3564025
3564,3564024,AZE,373,18,8,1993,18,8,1993,1,0,0,0,16,4,1,0,5,3564025
